title,director,country,genre,year
Лесси. Возвращение домой,Ханно Ольдердиссен,Германия,", драма,, семейный фильм, Приключения",2020
Лакшми,"Рагхава Лоуренс, [d]",Индия,"комедия, ужасы",2020
Лёд 2,Жора Крыжовников,Россия,"мелодрама, мюзикл, cпорт, драма",2020
Лучшие годы жизни,Клод Лелуш,Франция,"драматический фильм, романтический фильм",2019
Куш собачий,Оливье Ван Хуфстад,Франция,комедия,2020
Купала,Владимир Янковский,Белоруссия,"биография, драма",2020
Кукла 2: Брамс,Уильям Брент Белл,США,фильм ужасов,2020
"Куда ты идёшь, Аида?",Ясмила Жбанич,"Босния и Герцеговина, Австрия, Румыния, Нидерланды, Германия, Польша, Франция, Турция, Норвегия","драматический фильм, исторический фильм, военный фильм, [2]",2020
Кровь и деньги,"Джон Барр, [d]",США,триллер,
Кто не спрятался,Дэйв Франко,США,"триллер, ужасы",2020
Кровные узы,Томас Безуча,США,Триллер,2020
Криминальные боссы,Кларк Дьюк,США,"триллер, криминал, драма",2020
Крёстная мама,"Жан-Поль Саломе, [d]",Франция,"[d], комедийный фильм, криминальный фильм",2020
Кошмары,Энтони Скотт Бёрнс,Канада,"кинофантастика, фильм ужасов",2020
"Кошки против собак 3: Лапы, объединяйтесь!",Шон Макнамара,США,"фэнтези, семейный, комедия, боевик",2020
Корпоративные животные,Патрик Брайс,США,кинокомедия,2019
Коффи и Карим,Майкл Даус,США,"боевик, комедия",2020
Конференция,Иван И. Твердовский,"Россия, Эстония, Италия, Великобритания",драма,2020
Король Стейтен-Айленда,Джадд Апатоу,США,"комедия, драма",2020
Коп на драйве,Тарек Будали,Франция,комедия,2020
Кое-что о Гарри,Питер Пейдж,США,романтическая комедия,2020
Книги крови,Брэннон Брага,США,"сплаттерпанк, фильм ужасов",2020
Коллекторы 2,Джесси Джонсон,США,"боевик, комедия",2020
Кома,Никита Аргунов,Россия,"фэнтези, фантастика, приключения, боевик",2019
Книга видения,Карло Хинтерманн,"Италия, Бельгия, Великобритания","драматический фильм, [d]",2020
Кольская сверхглубокая,Арсений Сюхин,Россия,"боди-хоррор, триллер, научная фантастика, фильм ужасов",2020
Ключ времени,Алексей Тельнов,Россия,"драма, фэнтези, приключения, /, мистика",2020
Колдовство: Новый ритуал,"Листер-Джонс, Зои",США,подростковый фильм,2020
Как Надя пошла за водкой,Владимир Мирзоев,Россия,трагикомедия,2020
Клаустрофобы: Квест в Москве,Уилл Верник,США,"фильм-триллер, фильм ужасов",2020
Калашников,Константин Буслов,Россия,биография,2020
Итальянские каникулы,Массимо Венье,Италия,", мелодрама, комедия",2020
Иччи,Костас Марсаан,,Ужасы,2020
Капоне. Лицо со шрамом,Джош Транк,"США, Канада","биографическая, драма",2020
Каджиллионер,Миранда Джулай,США,"[1], криминальный фильм, история взросления",2020
Китобой,Филипп  Юрьев,Россия,драма,2020
Искусство ограбления,"Джузеппе Капотонди, [d]","США, [3], [4], Италия, [5], [3], […], Великобритания, [5], [3]",[d],2019
История семьи Блум,"Глендин Айвин, [d]","США, Австралия","драматический фильм, [d]",2020
Искусство греха,"Ibrahim Mursal, [d]","Норвегия, Судан","[d], документальный фильм",2020
Илхак,Джахонгир Ахмедов,Узбекистан,драма,2020
Империя комаров,Филип Ян Рымша,"Польша, США","триллер, драма",2020
Искусственный интеллект,Бен Фальконе,США,"боевик, Романтическая комедия",2020
Изгнание,"Visar Morina, [d]",,драматический фильм,2020
Идеальный кандидат,Хаифа аль-Мансур,Саудовская Аравия,комедийный фильм,2019
Игры шпионов,Доминик Кук,Великобритания,историческая драма,2020
"Игры, в которые играют люди",Йенни Тойвониеми,Финляндия,"комедийная, драма",2020
Золотое кольцо,Шота Гамисония,Россия,"романтическая комедия, мелодрама, роуд-муви",2020
Зоя,"Леонид Пляскин, Максим Бриус",Россия,"историческая, (, ), драма, военно, -, 12+",2020
Мой любимый враг,Питер Хатчингс,США,романтическая комедия,2021
Молоко,Карен Оганесян,Россия,"комедия, драма",2021
Зови меня Дрозд,Павел Мирзоев,Россия,мелодрама,2020
Мой легионер,"Рэйчел Лэнг, [d]","Франция, Бельгия",драматический фильм,2021
Мой волк,Дени Имбер,Франция,приключенческий фильм,2021
Мейер Лански,Иван Роквей,США,"биографическая, криминальная драма",2021
Множественные святые Ньюарка,Алан Тейлор,США,"криминальная, драма",2021
Межсезонье,Александр Хант,Россия,криминальная мелодрама,2021
Медея,Александр Зельдович,Россия,драма,2021
Мать/Андроид,Маттсон Томлин,США,"научно-фантастический фильм, фильм-триллер",2021
Маргарита — королева Севера,"Шарлотта Зилинг, [d], [1]","Дания, Норвегия, [4], Швеция, [4], Польша, [4], Чехия, [4], Исландия, [4]","историческая драма, биографический фильм, [4], драматический фильм, исторический фильм",2021
Мария. Спасти Москву,Вера Сторожева,Россия,драма,2021
Матрица: Воскрешение,Лана Вачовски,США,"триллер, боевик, киберпанк, постапокалиптика, научная фантастика, антиутопия",2021
Малькольм и Мари,Сэм Левинсон,США,романтический фильм,2021
Малышка,Брайан Эндрю Мендоза,США,боевик,2021
Маленький воин,Илья Ермолов,Россия,"драма, спортивная",2021
Мальчик по имени Рождество,"Гил Кинан, [d]",Великобритания,"[d], фэнтезийный фильм",2021
"Мама, я дома",Владимир Битоков,Россия,драма,2021
Маленькая рыбка,"Чад Хэртиган, [d]",США,"романтический фильм, научно-фантастический фильм",2021
Маленькая мама,Селин Сьямма,Франция,Драма,2021
Мегрэ и таинственная девушка,Патрис Леконт,"Франция, Бельгия",[d],2022
Мадам Икс,,"США, США","документальный фильм, концертный фильм",2021
Матильда,"Мэттью Уорчас, ru","США, Великобритания",,2022
Магазинные воришки всего мира,"Стивен Кижак, [d]",США,,2021
Меню,Марк  Майлод,США,"триллер, комедия ужасов, чёрная комедия",2022
Месть,Б. Дж. Новак,США,"комедия, драма",2022
Маскарад,Николя Бедос,Франция,"драматический фильм, комедийный фильм",2022
Майор Гром: Чумной Доктор,"Олег Трофим, Лёд, Майор Гром: Чумной Доктор, расширенная версия, Гром: Трудное детство, Майор Гром: Игра",Россия,"супергероика, приключения, детектив, боевик",2021
"Марсель, ракушка в ботинках",Дин Флейшер-Кэмп,США,Комедийная драма,2021
Марлоу,"Нил Джордан, [1]","США, [4], Испания, [3], Франция, [3], Ирландия, [4], [3]","триллер, нуар",2022
