title,director,country,genre,year
«Между отчаянием и надеждой»,Анна Барсукова,Россия,Документальное кино,2023
Материнское воскресенье,Эва Юссон,Великобритания,драматический фильм,2021
Любовь-морковь: Восстание машин,Андрей Волгин,Россия,"[1], комедийный фильм",2023
Май декабрь,Тодд Хейнс,США,"драматический фильм, [2], романтический фильм",2023
Манодром,"Джон Тренгов, [d]","Великобритания, США","фильм-триллер, драматический фильм",2023
Культовые тусовщики,Ник Моран,Великобритания,фильм-биография,2021
Маргиналка,Фэйбл Сигл,США,"фэнтезийный фильм, [2], криминальный фильм",2023
Лютер: Павшее солнце,Джэми Пэйн,США,"фильм-триллер, [d], драматический фильм",2023
Любо,"Giorgio Diritti, [d]","Италия, Швейцария",драматический фильм,2023
Любовь с первого взгляда,"Vanessa Caswill, [d]","США, Великобритания, [1]","[d], романтическая комедия",2023
Куб,Ясухико Симидзу,Япония,"фильм ужасов, научная фантастика",2021
Кроличья лапа,Нана Джорджадзе,"Россия, ,, Франция","драма, мелодрама",2021
Кто-нибудь видел мою девчонку?,Ангелина Никонова,Россия,драма,2021
Кролик Питер 2,Уилл Глак,"Великобритания, Австралия, США","семейный, комедия",2021
Красотка на взводе,Таня Уэкслер,США,экшн-боевик,2021
Крепость,Джеймс Каллен Брэссак,США,"триллер, боевик",2021
Круэлла,Крейг Гиллеспи,США,криминальная комедия,2021
Круиз по джунглям,Жауме Кольет-Серра,США,приключенческий фильм,2021
Красный призрак,Андрей Богатырёв,Россия,"притча, истерн, боевик, приключения",2021
Корпорация Ad Libitum,Полина Ольденбург,Россия,"триллер, приключения",2021
Красное уведомление,Роусон Маршалл Тёрбер,США,"фильм-триллер, [d], комедийный фильм",2021
Космические чистильщики,Чо Сон-хи,Республика Корея,"научно-фантастический фильм, космическая опера",2021
Красные пророчества,"Александр Изотов,  Родни Джеймс Хьюитт","Россия, США","триллер, боевик",2021
Красная ракета,Шон Бейкер,США,"комедия, драма",2021
Край света,Майкл Хауссман,"США, Великобритания, Малайзия, Китай","приключенческая, историко, -, драма",2021
Кошачьи миры Луиса Уэйна,Уилл Шарп,"Великобритания, США","драматический фильм, биографический фильм",2021
Космический джем: Новое поколение,"Малкольм Д. Ли, Станция «Фрутвейл», Крид: Наследие Рокки, Чёрная пантера, награды и номинации, Чёрная пантера: Ваканда навеки, награды и номинации",США,"спорт, поп-рэп, трэп, комедия",2021
Королева баскетбола,"Ben Proudfoot, [d]","США, [1]","[1], документальный фильм, короткометражный фильм",2021
Король Ричард,Рейнальдо Маркус Грин,США,"спортивная, биографическая, драма",2021
Кинотеатр Сабайя,"Орит Фокс Ротем, [he]",Израиль,драма,
Кодекс киллера,Мартин Кэмпбелл,США,"триллер, боевик",2021
Клыки ночи,Адам Рэндалл,США,"фильм-триллер, фильм о вампирах",2021
Капкан,Галина Уразова,Россия,,2021
Кислород,Александр Ажа,"Франция, США","фильм-триллер, фэнтезийный фильм, драматический фильм, фильм про выживание",2021
Клаустрофобы 2: Лига выживших,Адам Робител,США,психологический хоррор,2021
Конёк-Горбунок,Олег Погодин,Россия,"фэнтези, приключения",2021
Капитан Волконогов бежал,"Наталья Меркулова, Алексей Чупов","Россия, Эстония, Франция","триллер, драма",2021
Камон Камон,Майк Миллс,США,драма,2021
История моей жены,Ильдико Эньеди,"Германия, Франция, Италия, Венгрия","драматический фильм, романтический фильм",2021
Кейт,Седрик Николас-Троян,США,"триллер, боевик, криминал",2021
Исчезнувший,"Кристиан Карион, [d]","Франция, Великобритания","детектив, триллер, драма",2021
Казнь,Ладо Кватания,Россия,"детектив, неонуар, триллер",2021
Как быть хорошей женой,"Мартен Прово, [d]","Франция, Бельгия",комедийный фильм,2020
Каждый твой вдох,Вон Стайн,"США, Германия","психологический триллер, драматический фильм",2021
Иуда и чёрный мессия,"Шака Кинг, Станция «Фрутвейл», Крид: Наследие Рокки, Чёрная пантера, награды и номинации, Чёрная пантера: Ваканда навеки, награды и номинации",США,биографический фильм,2021
К счастью,БенДэвид Грабински,США,"фильм-триллер, комедийный фильм",2021
Исповедь,Фрэн Кранц,США,драматический фильм,2021
Искушение,Пол Верховен,"Франция, Нидерланды, Бельгия","[d], драматический фильм, эротический фильм",2021
Ину-О: Рождение легенды,Масааки Юаса,,,
Идентичность,Ребекка Холл,"США, Великобритания",драматический фильм,2021
Идеальные незнакомцы,Лиор Ашкенази,Израиль,"драматический фильм, комедийный фильм",2021
Иван Денисович,Глеб Панфилов,Россия,драма,2021
Иваново счастье,Иван Соснин,Россия,драматический фильм,2021
Зона 414,Эндрю Бэрд,США,"фильм-триллер, научно-фантастический фильм",2021
Золушка,Кэй Кэннон,"США, Великобритания","мюзикл, романтика",2021
Злое,Джеймс Ван,США,фильм ужасов,2021
Звёздный рубеж,Эдвард Дрейк,США,"боевик, научно-фантастический",2021
Звёздный разум,Алекс Гурьев,Россия,"фантастика, приключения",2021
